nregistro,nombre,pactivos,labtitular,labcomercializador,cn,dosis,formaFarmaceuticaSimplificada,estado_aut,estado_rev,viasAdministracion,comerc,receta,generico,conduc,triangulo,huerfano,biosimilar,url_html_ficha_tecnica,url_foto_materiales,num_registros_atc,num_principios_activos
74196,MONTELUKAST CINFA 5 mg COMPRIMIDOS MASTICABLES EFG,MONTELUKAST SODICO,Laboratorios Cinfa S.A.,Laboratorios Cinfa S.A.,605466,5 mg,COMPRIMIDO MASTICABLE,1307397600000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/74196/FT_74196.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/74196/74196_materialas.jpg,3,1
75844,MONTELUKAST NORMON 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,MONTELUKAST SODICO,Laboratorios Normon S.A.,Laboratorios Normon S.A.,689528,10 mg,COMPRIMIDO,1335477600000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/75844/FT_75844.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/75844/75844_materialas.jpg,3,1
74176,MONTELUKAST NORMON 4 mg GRANULADO EFG,MONTELUKAST SODICO,Laboratorios Normon S.A.,Laboratorios Normon S.A.,680984,4 mg,SOLUCIÓN/SUSPENSIÓN ORAL,1307311200000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/74176/FT_74176.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/74176/74176_materialas.jpg,3,1
74237,MONTELUKAST NORMON 5 mg COMPRIMIDOS MASTICABLES EFG,MONTELUKAST SODICO,Laboratorios Normon S.A.,Laboratorios Normon S.A.,681232,5 mg,COMPRIMIDO MASTICABLE,1308002400000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/74237/FT_74237.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/74237/74237_materialas.jpg,3,1
72259,MONTELUKAST SANDOZ 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,MONTELUKAST SODICO,Sandoz Farmaceutica S.A.,Sandoz Farmaceutica S.A.,670074,10 mg,COMPRIMIDO,1277848800000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/72259/FT_72259.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/72259/72259_materialas.jpg,3,1
72109,MONTELUKAST SANDOZ 4 mg COMPRIMIDOS MASTICABLES EFG,MONTELUKAST SODICO,Sandoz Farmaceutica S.A.,Sandoz Farmaceutica S.A.,669070,4 MG,COMPRIMIDO MASTICABLE,1295823600000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/72109/FT_72109.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/72109/72109_materialas.jpg,3,1
73802,MONTELUKAST SANDOZ 4 mg GRANULADO EFG,MONTELUKAST SODICO,Sandoz Farmaceutica S.A.,Sandoz Farmaceutica S.A.,678593,4 mg,SOLUCIÓN/SUSPENSIÓN ORAL,1301954400000,,VÍA ORAL,False,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/73802/FT_73802.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/73802/73802_materialas.jpg,3,1
72110,MONTELUKAST SANDOZ 5 mg COMPRIMIDOS MASTICABLES EFG,MONTELUKAST SODICO,Sandoz Farmaceutica S.A.,Sandoz Farmaceutica S.A.,669092,5 mg,COMPRIMIDO MASTICABLE,1295823600000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/72110/FT_72110.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/72110/72110_materialas.jpg,3,1
72590,MONTELUKAST STADA 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,MONTELUKAST SODICO,Laboratorio Stada S.L.,Laboratorio Stada S.L.,665728,10 mg,COMPRIMIDO,1280268000000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/72590/FT_72590.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/72590/72590_materialas.jpg,3,1
72593,MONTELUKAST STADA 4 mg COMPRIMIDOS MASTICABLES EFG,MONTELUKAST SODICO,Laboratorio Stada S.L.,Laboratorio Stada S.L.,665726,4 mg,COMPRIMIDO MASTICABLE,1280268000000,,VÍA ORAL,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/72593/FT_72593.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/72593/72593_materialas.jpg,3,1
